"Ceremony","Ceremony.Year","AwardCeremony","AwardCategory","Note","FilmID","FilmName","PersonID","PersonName","GeneralizedCategory","Your.Rating","Date.Rated","Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Seen"
8,1936,"008-1936","Top Ten Films",NA,"tt0027652","Fury",NA,NA,"Top Films",8,"2023-10-31","Fury","movie",7.8,92,1936,13430,"Yes"
8,1936,"008-1936","Top Ten Films",NA,"tt0027977","Modern Times",NA,NA,"Top Films",NA,NA,"Modern Times","movie",8.5,87,1936,254042,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0027996","Mr. Deeds Goes to Town",NA,NA,"Top Films",NA,NA,"Mr. Deeds Goes to Town","movie",7.8,115,1936,22771,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0028203","Romeo and Juliet",NA,NA,"Top Films",NA,NA,"Romeo and Juliet","movie",6.5,125,1936,2167,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0027518","The Devil Is a Sissy",NA,NA,"Top Films",NA,NA,"The Devil Is a Sissy","movie",6.7,92,1936,566,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0027700","The Green Pastures",NA,NA,"Top Films",NA,NA,"The Green Pastures","movie",7,93,1936,876,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0028141","The Prisoner of Shark Island",NA,NA,"Top Films",NA,NA,"The Prisoner of Shark Island","movie",7.2,96,1936,2481,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0028313","The Story of Louis Pasteur",NA,NA,"Top Films",NA,NA,"The Story of Louis Pasteur","movie",7.3,86,1936,3038,"No"
8,1936,"008-1936","Top Ten Films",NA,"tt0028511","Winterset",NA,NA,"Top Films",NA,NA,"Winterset","movie",6.1,77,1936,481,"No"
9,1937,"009-1937","Best Acting",NA,"tt0027509","Baltic Deputy","nm0003540","Nikolay Cherkasov","Performance",NA,NA,"Deputat Baltiki","movie",6.5,96,1937,133,"No"
9,1937,"009-1937","Best Acting",NA,"tt0027367","Black Legion","nm0000007","Humphrey Bogart","Performance",NA,NA,"Black Legion","movie",6.9,83,1937,3820,"No"
9,1937,"009-1937","Best Acting",NA,"tt0028683","Camille","nm0001256","Greta Garbo","Performance",NA,NA,"Camille","movie",7.3,109,1936,8552,"No"
9,1937,"009-1937","Best Acting",NA,"tt0028739","Conquest","nm0000964","Charles Boyer","Performance",NA,NA,"Conquest","movie",6.5,113,1937,1645,"No"
9,1937,"009-1937","Best Acting",NA,"tt0028739","Conquest","nm0653642","Maria Ouspenskaya","Performance",NA,NA,"Conquest","movie",6.5,113,1937,1645,"No"
9,1937,"009-1937","Best Acting",NA,"tt0027592","Die ewige Maske","nm0927436","Mathias Wieman","Performance",NA,NA,"Die ewige Maske","movie",6.8,74,1935,33,"No"
9,1937,"009-1937","Best Acting",NA,"tt0027951","Mayerling","nm0201638","Danielle Darrieux","Performance",NA,NA,"Mayerling","movie",7,96,1936,933,"No"
9,1937,"009-1937","Best Acting",NA,"tt0029310","Night Must Fall","nm0926599","May Whitty","Performance",NA,NA,"Night Must Fall","movie",7.2,116,1937,2825,"No"
9,1937,"009-1937","Best Acting",NA,"tt0029310","Night Must Fall","nm0599910","Robert Montgomery","Performance",NA,NA,"Night Must Fall","movie",7.2,116,1937,2825,"No"
9,1937,"009-1937","Best Acting",NA,"tt0028944","The Good Earth","nm0707023","Luise Rainer","Performance",NA,NA,"The Good Earth","movie",7.5,138,1937,5301,"No"
9,1937,"009-1937","Best Acting",NA,"tt0029146","The Life of Emile Zola","nm0771584","Joseph Schildkraut","Performance",NA,NA,"The Life of Emile Zola","movie",7.2,116,1937,8812,"No"
9,1937,"009-1937","Best Acting",NA,"tt0027688","The Man of Stone","nm0062428","Harry Baur","Performance",NA,NA,"Le golem","movie",6.2,83,1936,258,"No"
9,1937,"009-1937","Best Film",NA,"tt0029310","Night Must Fall",NA,NA,"Top Films",NA,NA,"Night Must Fall","movie",7.2,116,1937,2825,"No"
9,1937,"009-1937","Best Foreign Language Film",NA,"tt0027592","Die ewige Maske",NA,NA,"International",NA,NA,"Die ewige Maske","movie",6.8,74,1935,33,"No"
9,1937,"009-1937","Top Foreign Films",NA,"tt0027509","Baltic Deputy",NA,NA,"International",NA,NA,"Deputat Baltiki","movie",6.5,96,1937,133,"No"
9,1937,"009-1937","Top Foreign Films",NA,"tt0025191","Behold the Man",NA,NA,"International",NA,NA,"Golgotha","movie",6.6,95,1935,276,"No"
