"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
92,"tt12536294","2021-11-05","2021-11-05",NA,"Spencer","https://www.imdb.com/title/tt12536294/","movie",6.6,117,2021,"Biography, Drama",70834,"2021-09-03","Pablo Larraín"
93,"tt0016392","2021-11-05","2021-11-05",NA,"Die Stadt ohne Juden","https://www.imdb.com/title/tt0016392/","movie",6.3,91,1924,"Drama",391,"1924-05-05","H.K. Breslauer"
94,"tt12789558","2021-11-11","2021-11-11",NA,"Belfast","https://www.imdb.com/title/tt12789558/","movie",7.3,98,2021,"Biography, Drama",78504,"2021-09-02","Kenneth Branagh"
95,"tt6823148","2021-11-17","2021-11-17",NA,"Benedetta","https://www.imdb.com/title/tt6823148/","movie",6.7,131,2021,"Biography, Drama, History, Romance",21262,"2021-07-09","Paul Verhoeven"
96,"tt0065780","2021-11-17","2021-11-17",NA,"Gimme Shelter","https://www.imdb.com/title/tt0065780/","movie",7.8,91,1970,"Documentary, Music, Thriller",12293,"1970-12-06","David Maysles, Charlotte Zwerin, Albert Maysles"
97,"tt0060231","2021-11-17","2021-11-17",NA,"Charlie Is My Darling","https://www.imdb.com/title/tt0060231/","movie",7.2,60,1966,"Documentary, Music",240,"1966-10-15","Peter Whitehead"
98,"tt9320140","2021-11-19","2021-11-19",NA,"The Man with the Answers","https://www.imdb.com/title/tt9320140/","movie",6.8,80,2021,"Drama, Romance",3014,"2021-02-27","Stelios Kammitsis"
99,"tt7475578","2021-11-19","2021-11-19",NA,"Munich: The Edge of War","https://www.imdb.com/title/tt7475578/","movie",6.8,130,2021,"Biography, Drama, History, Thriller",32544,"2021-10-13","Christian Schwochow"
100,"tt14068864","2021-11-19","2021-11-19",NA,"Les magnétiques","https://www.imdb.com/title/tt14068864/","movie",6.5,98,2021,"Drama, History",743,"2021-07-09","Vincent Maël Cardona"
101,"tt14775784","2021-11-19","2021-11-19",NA,"Große Freiheit","https://www.imdb.com/title/tt14775784/","movie",7.5,116,2021,"Drama",5513,"2021-07-08","Sebastian Meise"
102,"tt0015841","2021-11-19","2021-11-19",NA,"The Freshman","https://www.imdb.com/title/tt0015841/","movie",7.5,77,1925,"Comedy, Family, Music, Romance, Sport",5738,"1925-08-17","Fred C. Newmeyer, Sam Taylor"
103,"tt8430054","2021-12-01","2021-12-01",NA,"Flugt","https://www.imdb.com/title/tt8430054/","movie",7.9,89,2021,"Documentary, Animation, Biography, Drama",17635,"2021-01-28","Jonas Poher Rasmussen"
104,"tt0104940","2021-12-04","2021-12-04",NA,"The Muppet Christmas Carol","https://www.imdb.com/title/tt0104940/","movie",7.7,85,1992,"Comedy, Drama, Family, Fantasy, Musical",63717,"1992-12-06","Brian Henson"
105,"tt0095016","2021-12-04","2021-12-04",NA,"Die Hard","https://www.imdb.com/title/tt0095016/","movie",8.2,132,1988,"Action, Thriller",893667,"1988-07-12","John McTiernan"
106,"tt13846526","2021-12-11","2021-12-11",NA,"La place d'une autre","https://www.imdb.com/title/tt13846526/","movie",6.4,112,2021,"Drama",261,"2021-08-09","Aurélia Georges"
107,"tt11286314","2021-12-17","2021-12-17",NA,"Don't Look Up","https://www.imdb.com/title/tt11286314/","movie",7.2,138,2021,"Comedy, Drama, Sci-Fi",548092,"2021-12-05","Adam McKay"
108,"tt0055614","2021-12-18","2021-12-18",NA,"West Side Story","https://www.imdb.com/title/tt0055614/","movie",7.6,153,1961,"Crime, Drama, Musical, Romance",116194,"1961-10-18","Jerome Robbins, Robert Wise"
109,"tt0118749","2021-12-18","2021-12-18",NA,"Boogie Nights","https://www.imdb.com/title/tt0118749/","movie",7.9,155,1997,"Drama",270224,"1997-09-11","Paul Thomas Anderson"
110,"tt0054731","2021-12-19","2021-12-19",NA,"Cash on Demand","https://www.imdb.com/title/tt0054731/","movie",7.4,89,1961,"Crime, Drama, Mystery, Thriller",2448,"1961-12-20","Quentin Lawrence"
111,"tt4995540","2021-12-21","2021-12-21",NA,"Being the Ricardos","https://www.imdb.com/title/tt4995540/","movie",6.5,131,2021,"Biography, Drama",42505,"2021-12-02","Aaron Sorkin"
112,"tt11271038","2021-12-27","2021-12-27",NA,"Licorice Pizza","https://www.imdb.com/title/tt11271038/","movie",7.2,133,2021,"Comedy, Drama, Romance",123032,"2021-11-20","Paul Thomas Anderson"
113,"tt10095582","2021-12-30","2021-12-30",NA,"The Tragedy of Macbeth","https://www.imdb.com/title/tt10095582/","movie",7.1,105,2021,"Drama, Mystery, Thriller",35735,"2021-09-24","Joel Coen"
114,"tt11777738","2022-01-07","2022-01-07",NA,"Ghahreman","https://www.imdb.com/title/tt11777738/","movie",7.5,127,2021,"Drama",26190,"2021-07-13","Asghar Farhadi"
115,"tt7131622","2022-01-07","2022-01-07",NA,"Once Upon a Time in... Hollywood","https://www.imdb.com/title/tt7131622/","movie",7.6,161,2019,"Comedy, Drama",760644,"2019-05-21","Quentin Tarantino"
116,"tt3581652","2022-01-13","2022-01-13",NA,"West Side Story","https://www.imdb.com/title/tt3581652/","movie",7.2,156,2021,"Crime, Drama, Musical, Romance",86370,"2021-11-29","Steven Spielberg"
117,"tt2382320","2022-01-23","2022-01-23",NA,"No Time to Die","https://www.imdb.com/title/tt2382320/","movie",7.3,163,2021,"Action, Adventure, Thriller",411106,"2021-09-28","Cary Joji Fukunaga"
118,"tt10986222","2022-01-23","2022-01-23",NA,"C'mon C'mon","https://www.imdb.com/title/tt10986222/","movie",7.4,109,2021,"Drama",33236,"2021-09-02","Mike Mills"
119,"tt13648212","2022-01-23","2022-01-23",NA,"Zgjoi","https://www.imdb.com/title/tt13648212/","movie",7.1,84,2021,"Drama",3501,"2021-01-31","Blerta Basholli"
120,"tt0318069","2022-01-23","2022-01-23",NA,"Shatranj-e baad","https://www.imdb.com/title/tt0318069/","movie",7.4,99,1976,"Drama, Mystery, Thriller",1386,"1976-11-30","Mohammad Reza Aslani"
121,"tt12618926","2022-01-23","2022-01-23",NA,"Madres paralelas","https://www.imdb.com/title/tt12618926/","movie",7.1,123,2021,"Drama",31661,"2021-09-01","Pedro Almodóvar"
122,"tt14039582","2022-01-23","2022-01-23",NA,"Doraibu mai kâ","https://www.imdb.com/title/tt14039582/","movie",7.6,179,2021,"Drama",54957,"2021-07-11","Ryûsuke Hamaguchi"
123,"tt13646976","2022-01-24","2022-01-24",NA,"Bring Your Own Brigade","https://www.imdb.com/title/tt13646976/","movie",7.2,119,2021,"Documentary",327,"2021-01-29","Lucy Walker"
124,"tt9784798","2022-01-24","2022-01-24",NA,"Judas and the Black Messiah","https://www.imdb.com/title/tt9784798/","movie",7.4,126,2021,"Biography, Drama, History",83596,"2021-02-01","Shaka King"
125,"tt0079470","2022-02-02","2022-02-02",NA,"Life of Brian","https://www.imdb.com/title/tt0079470/","movie",8,94,1979,"Comedy",404945,"1979-08-17","Terry Jones"
126,"tt0071853","2022-02-02","2022-02-02",NA,"Monty Python and the Holy Grail","https://www.imdb.com/title/tt0071853/","movie",8.2,91,1975,"Adventure, Comedy, Fantasy",547194,"1975-03-14","Terry Jones, Terry Gilliam"
127,"tt9639470","2022-02-03","2022-02-03",NA,"Last Night in Soho","https://www.imdb.com/title/tt9639470/","movie",7,116,2021,"Drama, Horror, Mystery, Thriller",145284,"2021-09-04","Edgar Wright"
128,"tt3797512","2022-02-03","2022-02-03",NA,"Barb and Star Go to Vista Del Mar","https://www.imdb.com/title/tt3797512/","movie",6.3,107,2021,"Comedy",18512,"2021-02-12","Josh Greenbaum"
129,"tt1160419","2022-02-03","2022-02-03",NA,"Dune: Part One","https://www.imdb.com/title/tt1160419/","movie",8,155,2021,"Action, Adventure, Drama, Sci-Fi",654154,"2021-09-03","Denis Villeneuve"
130,"tt11214590","2022-02-03","2022-02-03",NA,"House of Gucci","https://www.imdb.com/title/tt11214590/","movie",6.6,158,2021,"Biography, Crime, Drama",141863,"2021-11-09","Ridley Scott"
131,"tt9620288","2022-02-03","2022-02-03",NA,"King Richard","https://www.imdb.com/title/tt9620288/","movie",7.5,144,2021,"Biography, Drama, Sport",118875,"2021-09-02","Reinaldo Marcus Green"
132,"tt9100054","2022-02-03","2022-02-03",NA,"The Lost Daughter","https://www.imdb.com/title/tt9100054/","movie",6.7,121,2021,"Drama",67890,"2021-09-02","Maggie Gyllenhaal"
