"TheatreID","SessionID","ScreenTitle","ScreenTrailer","ScreenPoster","ScreenDate","ScreenTimestamp","ScreenTime","ScreenTicketLink","ScreenGenre","ScreenRuntime","ScreenTheatre"
"f-0100004090","36624","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-09T21:20:00","09:20 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36624&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36625","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-10T11:15:00","11:15 AM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36625&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36626","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-10T20:15:00","08:15 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36626&visLang=1","Action","99 Minutes","AFI - AFI Silver 3"
"f-0100004090","36627","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-11T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36627&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36628","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-12T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36628&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36629","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-12T19:00:00","07:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36629&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36630","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-13T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36630&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36631","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-14T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36631&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004090","36632","ENTER THE DRAGON","https://www.youtube.com/watch?v=_NKUZjfTESM","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004090?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 08, 2023","2023-09-14T21:35:00","09:35 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36632&visLang=1","Action","99 Minutes","AFI - AFI Silver 1"
"f-0100004156","37394","EVANGELION: 3.0+1.01 THRICE UPON A TIME","https://www.youtube.com/watch?v=zRSc-fQ1Sdg","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004156?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-15T20:30:00","08:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37394&visLang=1","Animation, sci-fi","155 Minutes","AFI - AFI Silver 2"
"f-0100004156","37395","EVANGELION: 3.0+1.01 THRICE UPON A TIME","https://www.youtube.com/watch?v=zRSc-fQ1Sdg","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004156?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-16T13:45:00","01:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37395&visLang=1","Animation, sci-fi","155 Minutes","AFI - AFI Silver 2"
"f-0100004156","37399","EVANGELION: 3.0+1.01 THRICE UPON A TIME","https://www.youtube.com/watch?v=zRSc-fQ1Sdg","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004156?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-16T22:00:00","10:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37399&visLang=1","Animation, sci-fi","155 Minutes","AFI - AFI Silver 1"
"f-0100004156","37396","EVANGELION: 3.0+1.01 THRICE UPON A TIME","https://www.youtube.com/watch?v=zRSc-fQ1Sdg","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004156?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-17T13:45:00","01:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37396&visLang=1","Animation, sci-fi","155 Minutes","AFI - AFI Silver 2"
"f-0100004156","37400","EVANGELION: 3.0+1.01 THRICE UPON A TIME","https://www.youtube.com/watch?v=zRSc-fQ1Sdg","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004156?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Friday, September 15, 2023","2023-09-18T19:30:00","07:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37400&visLang=1","Animation, sci-fi","155 Minutes","AFI - AFI Silver 1"
