"AwardCategory","AwardWinner","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","AwardType","Your.Rating","IMDb.Rating","Num.Votes"
"Best Picture",NA,"10-1938","tt0028691","Captains Courageous",NA,NA,NA,NA,"Picture",NA,7.9,10788
"Best Picture",NA,"10-1938","tt0028773","Dead End",NA,NA,NA,NA,"Picture",6,7.2,8496
"Best Picture",NA,"10-1938","tt0029047","In Old Chicago",NA,NA,NA,NA,"Picture",NA,6.7,2611
"Best Picture",NA,"10-1938","tt0029162","Lost Horizon",NA,NA,NA,NA,"Picture",7,7.6,14346
"Best Picture",NA,"10-1938","tt0029347","One Hundred Men and a Girl",NA,NA,NA,NA,"Picture",NA,6.7,1206
"Best Picture",NA,"10-1938","tt0029604","Stage Door",NA,NA,NA,NA,"Picture",NA,7.7,8967
"Best Picture",NA,"10-1938","tt0028597","The Awful Truth",NA,NA,NA,NA,"Picture",7,7.7,21185
"Best Picture",NA,"10-1938","tt0028944","The Good Earth",NA,NA,NA,NA,"Picture",NA,7.5,5357
"Best Short Subject, Cartoons","Winner","10-1938","tt0029339","The Old Mill","nm0000370","Walt Disney",NA,NA,"Short",9,7.8,4795
"Best Short Subject, Cartoons",NA,"10-1938","tt0028819","Educated Fish",NA,NA,NA,NA,"Short",6,6,304
"Best Short Subject, Cartoons",NA,"10-1938","tt0029151","The Little Match Girl","nm0591762","Charles Mintz",NA,NA,"Short",9,6.9,410
"Best Short Subject, Color","Winner","10-1938","tt0029385","Penny Wisdom","nm0809570","Pete Smith",NA,NA,"Short",NA,6.1,318
"Best Short Subject, Color",NA,"10-1938","tt0029416","Popular Science",NA,NA,NA,NA,"Short",NA,5.4,26
"Best Short Subject, Color",NA,"10-1938","tt0029204","The Man Without a Country",NA,NA,NA,NA,"Short",NA,5.7,189
"Best Short Subject, One-reel","Winner","10-1938","tt0029443","The Private Life of the Gannets",NA,NA,NA,NA,"Short",NA,6,107
